highway_name,route_no,from_location,to_location,source_url,source_note
Old Oregon Trail,,Idaho state line at Ontario and Nyssa (east-west state highway),"Seaside on the Pacific Ocean (via Huntington, Baker City, La Grande, Pendleton, Umatilla, The Dalles, Hood River, Portland, Astoria)",https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.905 designates the east-west state highway across Oregon as the Old Oregon Trail (with Columbia River Highway and Mt. Hood Loop sections).
Vietnam Veterans Memorial Highway,I-84,Intersects I-5 in Portland,Idaho state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.916.
World War II Veterans Historic Highway,US-97,California state line,Washington state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.917(1)(a) (The Dalles-California Highway portion of US 97).
World War II Veterans Historic Highway,OR-126,US 97,Prineville-Crook County Airport,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.917(1)(b) (State Highway 126 segment).
Police Chief Ralph Painter Memorial Highway,US-30,St. Helens,Rainier (Lower Columbia River Highway segment),https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.918.
Officer Chris Kilcullen Memorial Highway,OR-126,West 6th Avenue & West 7th Avenue in Eugene,Main Street in Springfield,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.919 (Eugene-Springfield Highway segment).
Warm Springs Veterans Memorial Highway,US-26,Within the Warm Springs Reservation,,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.922.
William Tebeau Memorial Highway,OR-126,US 101 in Florence,OR 569 (Beltline Highway) in Eugene,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.923 (Florence-Eugene Highway segment).
World War I Veterans Memorial Highway,US-395,California state line,Washington state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(1).
Korean War Veterans Memorial Highway,I-5,California state line,Washington state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(2).
Purple Heart Trail,I-5,California state line,Washington state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(2) (alternate designation).
Atomic Veterans and Atomic Cleanup Veterans Memorial Highway,I-5,Albany,Salem,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(3).
"Persian Gulf, Afghanistan and Iraq Veterans Memorial Highway",US-101,California state line,Washington state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(4).
POW/MIA Memorial Highway,US-26,US 101,Idaho state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(5).
Oregon Nisei Veterans World War II Memorial Highway,OR-35,US 26,US 30,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(6).
Oregon Gold Star Families Memorial Highway,US-30,US 101,Idaho state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.924(7).
Don Kendall Memorial Highway,US-395,State Highway 74 (Heppner Highway),Ukiah,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.925 (Pendleton-John Day Highway segment).
Oregon Medal of Honor Highway,US-20,Newport,Idaho state line,https://www.oregonlegislature.gov/bills_laws/ors/ors366.html,ORS 366.936.
